Page,Sequence,DefaultImage,RorV,Label
urn:cite:bsb:cg427.104r,218,urn:cite:bsb:muncg427img.MunCG427_img218,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 104, recto"
urn:cite:bsb:cg427.104v,219,urn:cite:bsb:muncg427img.MunCG427_img219,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 104, verso"
,,urn:cite:bsb:muncg427img.MunCG427_img220,,
,,urn:cite:bsb:muncg427img.MunCG427_img221,,
urn:cite:bsb:cg427.106r,222,urn:cite:bsb:muncg427img.MunCG427_img222,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 106, recto"
urn:cite:bsb:cg427.106v,223,urn:cite:bsb:muncg427img.MunCG427_img223,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 106, verso"
urn:cite:bsb:cg427.107r,224,urn:cite:bsb:muncg427img.MunCG427_img224,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 107, recto"
urn:cite:bsb:cg427.107v,225,urn:cite:bsb:muncg427img.MunCG427_img225,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 107, verso"
,,urn:cite:bsb:muncg427img.MunCG427_img226,,
,,urn:cite:bsb:muncg427img.MunCG427_img227,,
,,urn:cite:bsb:muncg427img.MunCG427_img228,,
,,urn:cite:bsb:muncg427img.MunCG427_img229,,
,,urn:cite:bsb:muncg427img.MunCG427_img230,,
,,urn:cite:bsb:muncg427img.MunCG427_img231,,
,,urn:cite:bsb:muncg427img.MunCG427_img232,,
,,urn:cite:bsb:muncg427img.MunCG427_img233,,
,,urn:cite:bsb:muncg427img.MunCG427_img234,,
,,urn:cite:bsb:muncg427img.MunCG427_img235,,
,,urn:cite:bsb:muncg427img.MunCG427_img236,,
,,urn:cite:bsb:muncg427img.MunCG427_img237,,
,,urn:cite:bsb:muncg427img.MunCG427_img238,,
,,urn:cite:bsb:muncg427img.MunCG427_img239,,
,,urn:cite:bsb:muncg427img.MunCG427_img240,,
,,urn:cite:bsb:muncg427img.MunCG427_img241,,
,,urn:cite:bsb:muncg427img.MunCG427_img242,,
,,urn:cite:bsb:muncg427img.MunCG427_img243,,
,,urn:cite:bsb:muncg427img.MunCG427_img244,,
,,urn:cite:bsb:muncg427img.MunCG427_img245,,
,,urn:cite:bsb:muncg427img.MunCG427_img246,,
,,urn:cite:bsb:muncg427img.MunCG427_img247,,
,,urn:cite:bsb:muncg427img.MunCG427_img248,,
,,urn:cite:bsb:muncg427img.MunCG427_img249,,
,,urn:cite:bsb:muncg427img.MunCG427_img250,,
,,urn:cite:bsb:muncg427img.MunCG427_img251,,
,,urn:cite:bsb:muncg427img.MunCG427_img252,,
,,urn:cite:bsb:muncg427img.MunCG427_img253,,
,,urn:cite:bsb:muncg427img.MunCG427_img254,,
,,urn:cite:bsb:muncg427img.MunCG427_img255,,
,,urn:cite:bsb:muncg427img.MunCG427_img256,,
,,urn:cite:bsb:muncg427img.MunCG427_img257,,
,,urn:cite:bsb:muncg427img.MunCG427_img258,,
,,urn:cite:bsb:muncg427img.MunCG427_img259,,
,,urn:cite:bsb:muncg427img.MunCG427_img260,,
,,urn:cite:bsb:muncg427img.MunCG427_img261,,
,,urn:cite:bsb:muncg427img.MunCG427_img262,,
,,urn:cite:bsb:muncg427img.MunCG427_img263,,
,,urn:cite:bsb:muncg427img.MunCG427_img264,,
,,urn:cite:bsb:muncg427img.MunCG427_img265,,
,,urn:cite:bsb:muncg427img.MunCG427_img266,,
,,urn:cite:bsb:muncg427img.MunCG427_img267,,
,,urn:cite:bsb:muncg427img.MunCG427_img268,,
,,urn:cite:bsb:muncg427img.MunCG427_img269,,
,,urn:cite:bsb:muncg427img.MunCG427_img270,,
,,urn:cite:bsb:muncg427img.MunCG427_img271,,
,,urn:cite:bsb:muncg427img.MunCG427_img272,,
,,urn:cite:bsb:muncg427img.MunCG427_img273,,
,,urn:cite:bsb:muncg427img.MunCG427_img274,,
,,urn:cite:bsb:muncg427img.MunCG427_img275,,
,,urn:cite:bsb:muncg427img.MunCG427_img276,,
,,urn:cite:bsb:muncg427img.MunCG427_img277,,
